,Price,Address,Bd,Ba,Parking,Sqft,Maint. Fee,Time on market
334,"$599,000",407 - 38 Elm St,1BD,1BA,0 Parking,808 sqft,Maint. Fee $723,66 days
335,"$638,800",602 - 42 Camden St,1BD,1BA,0 Parking,583 sqft,Maint. Fee $384,66 days
336,"$634,900",1618 - 352 Front St W,1+1BD,1BA,0 Parking,569 sqft,Maint. Fee $379,67 days
337,"$649,999",#1013 - 105 George St,1+1BD,2BA,1 Parking,667 sqft,Maint. Fee $610,67 days
338,"$619,900",806 - 12 Bonnycastle St,1BD,1BA,0 Parking,662 sqft,Maint. Fee $484,67 days
339,"$619,000",1609 - 8 Park Rd,1+1BD,1BA,0 Parking,610 sqft,Maint. Fee $537,67 days
340,"$649,000",514 - 352 Front St W,1+1BD,1BA,0 Parking,659 sqft,Maint. Fee $439,67 days
341,"$475,000",212 - 105 Mccaul St,1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $500,67 days
342,"$615,000",1501 - 832 Bay St,1BD,1BA,0 Parking,613 sqft,Maint. Fee $342,69 days
343,"$649,800",616 - 25 Lower Simcoe St,1+1BD,1BA,0 Parking,600-699 sqft,Maint. Fee $484,69 days
344,"$588,800",309 - 38 Dan Leckie Way,1+1BD,2BA,1 Parking,600-699 sqft,Maint. Fee $398,70 days
345,"$605,000",514 - 20 Richardson St,1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $379,70 days
346,"$649,900",2607 - 18 Harbour St,1+1BD,1BA,1 Parking,588 sqft,Maint. Fee $406,70 days
347,"$600,000",517 - 44 St Joseph St,1+1BD,1BA,0 Parking,600-699 sqft,Maint. Fee $558,70 days
348,"$649,900",3709 - 12 York St,1+1BD,1BA,1 Parking,590 sqft,Maint. Fee $557,70 days
349,"$589,900",1527 - 250 Wellington St W,1+1BD,1BA,1 Parking,600-699 sqft,Maint. Fee $492,70 days
350,"$649,900",LPH27 - 525 Adelaide St W,1+1BD,1BA,1 Parking,500-599 sqft,Maint. Fee $364,70 days
351,"$569,900",1608 - 85 Bloor St E,1+1BD,1BA,0 Parking,606 sqft,Maint. Fee $506,71 days
352,"$569,800",2309 - 290 Adelaide St W,1BD,1BA,0 Parking,445 sqft,Maint. Fee $289,71 days
353,"$629,000",706 - 45 Charles St E,1BD,1BA,0 Parking,600-699 sqft,Maint. Fee $310,71 days
354,"$609,900",4409 - 14 York St,1+1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $361,71 days
355,"$545,000",101S - 455 Front St,1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $426,71 days
356,"$568,000",216 - 560 Front St W,1BD,1BA,0 Parking,500 sqft,Maint. Fee $338,71 days
357,"$569,900",4201 - 25 Telegram Mews,1BD,1BA,0 Parking,540 sqft,Maint. Fee $315,71 days
358,"$650,000",606 - 909 Bay St,1BD,1BA,1 Parking,694 sqft,Maint. Fee $560,72 days
359,"$569,900",904 - 725 King St W,1+1BD,1BA,1 Parking,687 sqft,Maint. Fee $693,72 days
360,"$639,900",321 - 633 Bay St,1BD,1BA,1 Parking,858 sqft,Maint. Fee $711,72 days
361,"$549,888",301 - 330 Richmond St W,1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $376,72 days
362,"$650,000",711 - 375 King St W,1BD,1BA,0 Parking,600-699 sqft,Maint. Fee $451,72 days
363,"$549,900",811 - 78 Tecumseth St,1BD,1BA,0 Parking,542 sqft,Maint. Fee $237,72 days
364,"$575,000",1104 - 560 Front St W,1BD,1BA,0 Parking,525 sqft,Maint. Fee $374,73 days
365,"$534,900",319 - 25 The Esplanade,1+1BD,1BA,0 Parking,647 sqft,Maint. Fee $418,74 days
366,"$529,900",408 - 318 King St E,1BD,1BA,0 Parking,543 sqft,Maint. Fee $341,74 days
367,"$585,000",805 - 525 Adelaide St W,1BD,1BA,1 Parking,528 sqft,Maint. Fee $359,74 days
368,"$540,000",308 - 1121 Bay St,1BD,1BA,1 Parking,475 sqft,Maint. Fee $651,75 days
369,"$645,900",400 Wellington  St N,1BD,1BA,1 Parking,587 sqft,Maint. Fee $420,77 days
370,"$585,000",1405 - 1121 Bay St,1+1BD,1BA,0 Parking,590 sqft,Maint. Fee $684,77 days
